ms_nr,bundesland,behoerde,kreis,bez,ags,latitude,longitude,pct_data_1990_2021,trend_normalized,trend_bin,trend_raw,range,p_value
bb-25470023,bb,bb,Uckermark,Landkreis,12073,53.416803511616095,13.643615450650543,0.6640625,,,,,
bb-25470024,bb,bb,Uckermark,Landkreis,12073,53.41679486704928,13.643645820448016,0.6614583333333334,,,,,
bb-25480025,bb,bb,Uckermark,Landkreis,12073,53.452019548295326,13.8265372977532,0.6640625,,,,,
bb-25480026,bb,bb,Uckermark,Landkreis,12073,53.45707782119509,13.677410504274585,0.6640625,,,,,
bb-25481088,bb,bb,Uckermark,Landkreis,12073,53.47585427730124,13.821479921586834,0.7578125,,,,,
bb-25490020,bb,bb,Uckermark,Landkreis,12073,53.40569922821494,13.848872808307902,0.8645833333333334,,,,,
bb-25496022,bb,bb,Uckermark,Landkreis,12073,53.42632163723595,13.97738682980316,0.0,,,,,
bb-25496025,bb,bb,Uckermark,Landkreis,12073,53.42631329403327,13.977462280921158,0.7447916666666666,,,,,
bb-25500006,bb,bb,Uckermark,Landkreis,12073,53.42249532052164,14.144715073252858,0.9973958333333334,0.4976655594581,kein starker Trend,0.0061959362152534,1.245,0.0
bb-25501075,bb,bb,Uckermark,Landkreis,12073,53.417741698818304,14.039677061883271,0.75,,,,,
bb-25501076,bb,bb,Uckermark,Landkreis,12073,53.41772444956335,14.039767732891075,0.7526041666666666,,,,,
bb-25510027,bb,bb,Uckermark,Landkreis,12073,53.41403910747356,14.211702237323165,0.5625,,,,,
bb-26381003,bb,bb,Prignitz,Landkreis,12070,53.33630213577392,12.060516162731655,0.6145833333333334,,,,,
bb-26390030,bb,bb,Prignitz,Landkreis,12070,53.33261780824834,12.177850569117194,0.65625,,,,,
bb-26390032,bb,bb,Prignitz,Landkreis,12070,53.33261780824834,12.177850569117194,0.65625,,,,,
bb-26390040,bb,bb,Prignitz,Landkreis,12070,53.31451906589221,12.246779057062206,0.6302083333333334,,,,,
bb-26471092,bb,bb,Uckermark,Landkreis,12073,53.310021758286986,13.54862849897985,0.6744791666666666,,,,,
bb-26471094,bb,bb,Uckermark,Landkreis,12073,53.38198141547296,13.58885206705087,0.7083333333333334,,,,,
bb-26471095,bb,bb,Uckermark,Landkreis,12073,53.34948149934291,13.58789755351717,0.7083333333333334,,,,,
bb-26471096,bb,bb,Uckermark,Landkreis,12073,53.34947286861329,13.587927886209284,0.6979166666666666,,,,,
bb-26471097,bb,bb,Uckermark,Landkreis,12073,53.33259339813687,13.627486572596371,0.6953125,,,,,
bb-26471098,bb,bb,Uckermark,Landkreis,12073,53.33261171622534,13.627516019921764,0.7005208333333334,,,,,
bb-26471099,bb,bb,Uckermark,Landkreis,12073,53.33258423908995,13.627471848943134,0.671875,,,,,
bb-26480022,bb,bb,Uckermark,Landkreis,12073,53.33184559572061,13.72034792725022,0.6380208333333334,,,,,
bb-26481051,bb,bb,Uckermark,Landkreis,12073,53.39607116310008,13.763421114321584,0.2291666666666666,,,,,
bb-26481052,bb,bb,Uckermark,Landkreis,12073,53.3856509520779,13.786051768956591,0.6796875,,,,,
bb-26481057,bb,bb,Uckermark,Landkreis,12073,53.30641953821437,13.709176732885144,0.2239583333333333,,,,,
bb-26486009,bb,bb,Uckermark,Landkreis,12073,53.35347080691069,13.731795261610875,0.6953125,,,,,
bb-26486010,bb,bb,Uckermark,Landkreis,12073,53.35347080691069,13.731795261610875,0.7578125,,,,,
bb-26486011,bb,bb,Uckermark,Landkreis,12073,53.348566265278535,13.707843688051,0.2135416666666666,,,,,
bb-26486016,bb,bb,Uckermark,Landkreis,12073,53.361293097952256,13.73108210282787,0.2291666666666666,,,,,
bb-26490028,bb,bb,Uckermark,Landkreis,12073,53.31739777038679,13.866862860192365,0.6510416666666666,,,,,
bb-26490030,bb,bb,Uckermark,Landkreis,12073,53.32225610716832,13.842006575900326,0.6536458333333334,,,,,
bb-26490031,bb,bb,Uckermark,Landkreis,12073,53.32223813296124,13.842007062559976,0.6536458333333334,,,,,
bb-26491061,bb,bb,Uckermark,Landkreis,12073,53.3817769402292,13.840347038995702,0.1692708333333333,,,,,
bb-26491067,bb,bb,Uckermark,Landkreis,12073,53.366758933333735,13.946380811084994,0.1223958333333333,,,,,
bb-26491068,bb,bb,Uckermark,Landkreis,12073,53.34022017525693,13.9502043173017,0.125,,,,,
bb-26500002,bb,bb,Uckermark,Landkreis,12073,53.38089081298534,14.145564063904011,0.9869791666666666,0.20035075517521,kein starker Trend,0.0041422518632476,2.0675,0.0
bb-26501072,bb,bb,Uckermark,Landkreis,12073,53.37023312943799,14.006642129374349,0.125,,,,,
bb-26501073,bb,bb,Uckermark,Landkreis,12073,53.3702149042837,14.006612492695796,0.125,,,,,
bb-26501081,bb,bb,Uckermark,Landkreis,12073,53.3252566450987,14.08963623821851,0.1380208333333333,,,,,
bb-26510037,bb,bb,Uckermark,Landkreis,12073,53.35653585448501,14.195529732755976,0.125,,,,,
bb-265210100,bb,bb,Uckermark,Landkreis,12073,53.306826709031874,14.386237621962762,0.6197916666666666,,,,,
bb-265210101,bb,bb,Uckermark,Landkreis,12073,53.30688087134075,14.386281868309974,0.6223958333333334,,,,,
bb-27370001,bb,bb,Prignitz,Landkreis,12070,53.24101154656853,11.874788787215367,0.65625,,,,,
bb-27381002,bb,bb,Prignitz,Landkreis,12070,53.28668420215078,12.043142219024013,0.7369791666666666,,,,,
