year,month,min_gwl,mean_gwl,max_gwl,ms_nr,ms_nr_global
1990,1,,,,W_GWM10154,hh-W_GWM10154
1990,2,,,,W_GWM10154,hh-W_GWM10154
1990,3,,,,W_GWM10154,hh-W_GWM10154
1990,4,,,,W_GWM10154,hh-W_GWM10154
1990,5,,,,W_GWM10154,hh-W_GWM10154
1990,6,,,,W_GWM10154,hh-W_GWM10154
1990,7,,,,W_GWM10154,hh-W_GWM10154
1990,8,,,,W_GWM10154,hh-W_GWM10154
1990,9,,,,W_GWM10154,hh-W_GWM10154
1990,10,,,,W_GWM10154,hh-W_GWM10154
1990,11,,,,W_GWM10154,hh-W_GWM10154
1990,12,,,,W_GWM10154,hh-W_GWM10154
1991,1,,,,W_GWM10154,hh-W_GWM10154
1991,2,,,,W_GWM10154,hh-W_GWM10154
1991,3,,,,W_GWM10154,hh-W_GWM10154
1991,4,,,,W_GWM10154,hh-W_GWM10154
1991,5,,,,W_GWM10154,hh-W_GWM10154
1991,6,,,,W_GWM10154,hh-W_GWM10154
1991,7,,,,W_GWM10154,hh-W_GWM10154
1991,8,,,,W_GWM10154,hh-W_GWM10154
1991,9,,,,W_GWM10154,hh-W_GWM10154
1991,10,,,,W_GWM10154,hh-W_GWM10154
1991,11,,,,W_GWM10154,hh-W_GWM10154
1991,12,,,,W_GWM10154,hh-W_GWM10154
1992,1,,,,W_GWM10154,hh-W_GWM10154
1992,2,,,,W_GWM10154,hh-W_GWM10154
1992,3,,,,W_GWM10154,hh-W_GWM10154
1992,4,,,,W_GWM10154,hh-W_GWM10154
1992,5,,,,W_GWM10154,hh-W_GWM10154
1992,6,,,,W_GWM10154,hh-W_GWM10154
1992,7,,,,W_GWM10154,hh-W_GWM10154
1992,8,,,,W_GWM10154,hh-W_GWM10154
1992,9,,,,W_GWM10154,hh-W_GWM10154
1992,10,,,,W_GWM10154,hh-W_GWM10154
1992,11,,,,W_GWM10154,hh-W_GWM10154
1992,12,,,,W_GWM10154,hh-W_GWM10154
1993,1,,,,W_GWM10154,hh-W_GWM10154
1993,2,,,,W_GWM10154,hh-W_GWM10154
1993,3,,,,W_GWM10154,hh-W_GWM10154
1993,4,,,,W_GWM10154,hh-W_GWM10154
1993,5,,,,W_GWM10154,hh-W_GWM10154
1993,6,,,,W_GWM10154,hh-W_GWM10154
1993,7,,,,W_GWM10154,hh-W_GWM10154
1993,8,,,,W_GWM10154,hh-W_GWM10154
1993,9,,,,W_GWM10154,hh-W_GWM10154
1993,10,,,,W_GWM10154,hh-W_GWM10154
1993,11,,,,W_GWM10154,hh-W_GWM10154
1993,12,,,,W_GWM10154,hh-W_GWM10154
1994,1,,,,W_GWM10154,hh-W_GWM10154
1994,2,,,,W_GWM10154,hh-W_GWM10154
1994,3,,,,W_GWM10154,hh-W_GWM10154
1994,4,,,,W_GWM10154,hh-W_GWM10154
1994,5,,,,W_GWM10154,hh-W_GWM10154
1994,6,,,,W_GWM10154,hh-W_GWM10154
1994,7,,,,W_GWM10154,hh-W_GWM10154
1994,8,,,,W_GWM10154,hh-W_GWM10154
1994,9,,,,W_GWM10154,hh-W_GWM10154
1994,10,,,,W_GWM10154,hh-W_GWM10154
1994,11,,,,W_GWM10154,hh-W_GWM10154
1994,12,,,,W_GWM10154,hh-W_GWM10154
1995,1,,,,W_GWM10154,hh-W_GWM10154
1995,2,,,,W_GWM10154,hh-W_GWM10154
1995,3,,,,W_GWM10154,hh-W_GWM10154
1995,4,,,,W_GWM10154,hh-W_GWM10154
1995,5,,,,W_GWM10154,hh-W_GWM10154
1995,6,,,,W_GWM10154,hh-W_GWM10154
1995,7,,,,W_GWM10154,hh-W_GWM10154
1995,8,,,,W_GWM10154,hh-W_GWM10154
1995,9,,,,W_GWM10154,hh-W_GWM10154
1995,10,,,,W_GWM10154,hh-W_GWM10154
1995,11,,,,W_GWM10154,hh-W_GWM10154
1995,12,,,,W_GWM10154,hh-W_GWM10154
1996,1,,,,W_GWM10154,hh-W_GWM10154
1996,2,,,,W_GWM10154,hh-W_GWM10154
1996,3,,,,W_GWM10154,hh-W_GWM10154
1996,4,,,,W_GWM10154,hh-W_GWM10154
1996,5,,,,W_GWM10154,hh-W_GWM10154
1996,6,,,,W_GWM10154,hh-W_GWM10154
1996,7,,,,W_GWM10154,hh-W_GWM10154
1996,8,,,,W_GWM10154,hh-W_GWM10154
1996,9,,,,W_GWM10154,hh-W_GWM10154
1996,10,,,,W_GWM10154,hh-W_GWM10154
1996,11,,,,W_GWM10154,hh-W_GWM10154
1996,12,,,,W_GWM10154,hh-W_GWM10154
1997,1,,,,W_GWM10154,hh-W_GWM10154
1997,2,,,,W_GWM10154,hh-W_GWM10154
1997,3,,,,W_GWM10154,hh-W_GWM10154
1997,4,,,,W_GWM10154,hh-W_GWM10154
1997,5,,,,W_GWM10154,hh-W_GWM10154
1997,6,,,,W_GWM10154,hh-W_GWM10154
1997,7,,,,W_GWM10154,hh-W_GWM10154
1997,8,,,,W_GWM10154,hh-W_GWM10154
1997,9,,,,W_GWM10154,hh-W_GWM10154
1997,10,,,,W_GWM10154,hh-W_GWM10154
1997,11,,,,W_GWM10154,hh-W_GWM10154
1997,12,,,,W_GWM10154,hh-W_GWM10154
1998,1,,,,W_GWM10154,hh-W_GWM10154
1998,2,,,,W_GWM10154,hh-W_GWM10154
1998,3,,,,W_GWM10154,hh-W_GWM10154
1998,4,,,,W_GWM10154,hh-W_GWM10154
1998,5,,,,W_GWM10154,hh-W_GWM10154
1998,6,,,,W_GWM10154,hh-W_GWM10154
1998,7,,,,W_GWM10154,hh-W_GWM10154
1998,8,,,,W_GWM10154,hh-W_GWM10154
1998,9,,,,W_GWM10154,hh-W_GWM10154
1998,10,,,,W_GWM10154,hh-W_GWM10154
1998,11,,,,W_GWM10154,hh-W_GWM10154
1998,12,,,,W_GWM10154,hh-W_GWM10154
1999,1,-0.15,-0.15,-0.15,W_GWM10154,hh-W_GWM10154
1999,2,0.01,0.01,0.01,W_GWM10154,hh-W_GWM10154
1999,3,0.46,0.46,0.46,W_GWM10154,hh-W_GWM10154
1999,4,0.04,0.04,0.04,W_GWM10154,hh-W_GWM10154
1999,5,0.07,0.07,0.07,W_GWM10154,hh-W_GWM10154
1999,6,0.01,0.01,0.01,W_GWM10154,hh-W_GWM10154
1999,7,0.04,0.04,0.04,W_GWM10154,hh-W_GWM10154
1999,8,-0.18,-0.18,-0.18,W_GWM10154,hh-W_GWM10154
1999,9,,,,W_GWM10154,hh-W_GWM10154
1999,10,-0.48,-0.48,-0.48,W_GWM10154,hh-W_GWM10154
1999,11,-0.67,-0.67,-0.67,W_GWM10154,hh-W_GWM10154
1999,12,-0.62,-0.62,-0.62,W_GWM10154,hh-W_GWM10154
2000,1,-0.73,-0.73,-0.73,W_GWM10154,hh-W_GWM10154
2000,2,-0.18,-0.18,-0.18,W_GWM10154,hh-W_GWM10154
2000,3,0.23,0.23,0.23,W_GWM10154,hh-W_GWM10154
2000,4,-0.03,-0.03,-0.03,W_GWM10154,hh-W_GWM10154
2000,5,0.05,0.05,0.05,W_GWM10154,hh-W_GWM10154
2000,6,-0.03,-0.03,-0.03,W_GWM10154,hh-W_GWM10154
2000,7,-0.02,-0.02,-0.02,W_GWM10154,hh-W_GWM10154
2000,8,-0.12,-0.12,-0.12,W_GWM10154,hh-W_GWM10154
2000,9,-0.06,-0.06,-0.06,W_GWM10154,hh-W_GWM10154
2000,10,0.09,0.09,0.09,W_GWM10154,hh-W_GWM10154
2000,11,-0.04,-0.04,-0.04,W_GWM10154,hh-W_GWM10154
2000,12,-0.03,-0.03,-0.03,W_GWM10154,hh-W_GWM10154
2001,1,,,,W_GWM10154,hh-W_GWM10154
2001,2,-0.05,-0.05,-0.05,W_GWM10154,hh-W_GWM10154
2001,3,-0.08,-0.08,-0.08,W_GWM10154,hh-W_GWM10154
2001,4,-0.12,-0.12,-0.12,W_GWM10154,hh-W_GWM10154
2001,5,-0.03,-0.03,-0.03,W_GWM10154,hh-W_GWM10154
2001,6,0.01,0.01,0.01,W_GWM10154,hh-W_GWM10154
2001,7,0.29,0.29,0.29,W_GWM10154,hh-W_GWM10154
2001,8,0.22,0.22,0.22,W_GWM10154,hh-W_GWM10154
2001,9,0.8,0.8,0.8,W_GWM10154,hh-W_GWM10154
2001,10,0.59,0.59,0.59,W_GWM10154,hh-W_GWM10154
2001,11,0.14,0.14,0.14,W_GWM10154,hh-W_GWM10154
2001,12,0.37,0.37,0.37,W_GWM10154,hh-W_GWM10154
2002,1,0.32,0.32,0.32,W_GWM10154,hh-W_GWM10154
2002,2,0.65,0.65,0.65,W_GWM10154,hh-W_GWM10154
2002,3,0.69,0.69,0.69,W_GWM10154,hh-W_GWM10154
2002,4,0.07,0.07,0.07,W_GWM10154,hh-W_GWM10154
2002,5,0.13,0.13,0.13,W_GWM10154,hh-W_GWM10154
2002,6,-0.25,-0.25,-0.25,W_GWM10154,hh-W_GWM10154
2002,7,-0.45,-0.45,-0.45,W_GWM10154,hh-W_GWM10154
2002,8,0.67,0.67,0.67,W_GWM10154,hh-W_GWM10154
2002,9,0.02,0.02,0.02,W_GWM10154,hh-W_GWM10154
2002,10,-0.09,-0.09,-0.09,W_GWM10154,hh-W_GWM10154
2002,11,0.53,0.53,0.53,W_GWM10154,hh-W_GWM10154
2002,12,-0.09,-0.09,-0.09,W_GWM10154,hh-W_GWM10154
2003,1,-0.28,-0.28,-0.28,W_GWM10154,hh-W_GWM10154
2003,2,-0.38,-0.38,-0.38,W_GWM10154,hh-W_GWM10154
2003,3,-0.65,-0.65,-0.65,W_GWM10154,hh-W_GWM10154
2003,4,-0.75,-0.75,-0.75,W_GWM10154,hh-W_GWM10154
2003,5,-0.51,-0.51,-0.51,W_GWM10154,hh-W_GWM10154
2003,6,-0.47,-0.47,-0.47,W_GWM10154,hh-W_GWM10154
2003,7,-0.33,-0.33,-0.33,W_GWM10154,hh-W_GWM10154
2003,8,-0.24,-0.24,-0.24,W_GWM10154,hh-W_GWM10154
2003,9,-0.12,-0.12,-0.12,W_GWM10154,hh-W_GWM10154
2003,10,-0.2,-0.2,-0.2,W_GWM10154,hh-W_GWM10154
2003,11,-0.4,-0.4,-0.4,W_GWM10154,hh-W_GWM10154
2003,12,-0.39,-0.39,-0.39,W_GWM10154,hh-W_GWM10154
2004,1,-0.19,-0.19,-0.19,W_GWM10154,hh-W_GWM10154
2004,2,0.4,0.4,0.4,W_GWM10154,hh-W_GWM10154
2004,3,0.02,0.02,0.02,W_GWM10154,hh-W_GWM10154
2004,4,-0.16,-0.16,-0.16,W_GWM10154,hh-W_GWM10154
2004,5,-0.48,-0.48,-0.48,W_GWM10154,hh-W_GWM10154
2004,6,-0.09,-0.09,-0.09,W_GWM10154,hh-W_GWM10154
2004,7,0.46,0.46,0.46,W_GWM10154,hh-W_GWM10154
2004,8,0.7,0.7,0.7,W_GWM10154,hh-W_GWM10154
2004,9,0.17,0.17,0.17,W_GWM10154,hh-W_GWM10154
2004,10,-0.46,-0.46,-0.46,W_GWM10154,hh-W_GWM10154
2004,11,0.33,0.33,0.33,W_GWM10154,hh-W_GWM10154
2004,12,0.04,0.04,0.04,W_GWM10154,hh-W_GWM10154
2005,1,0.06,0.06,0.06,W_GWM10154,hh-W_GWM10154
2005,2,-0.11,-0.11,-0.11,W_GWM10154,hh-W_GWM10154
2005,3,-0.24,-0.24,-0.24,W_GWM10154,hh-W_GWM10154
2005,4,-0.33,-0.33,-0.33,W_GWM10154,hh-W_GWM10154
2005,5,-0.17,-0.17,-0.17,W_GWM10154,hh-W_GWM10154
2005,6,-0.09,-0.09,-0.09,W_GWM10154,hh-W_GWM10154
2005,7,-0.12,-0.12,-0.12,W_GWM10154,hh-W_GWM10154
2005,8,-0.1,-0.1,-0.1,W_GWM10154,hh-W_GWM10154
2005,9,0.16,0.16,0.16,W_GWM10154,hh-W_GWM10154
2005,10,0.2,0.2,0.2,W_GWM10154,hh-W_GWM10154
