ms_nr,year,month,min_gwl,mean_gwl,max_gwl
GMS207,1990,1,3.8,3.8,3.8
GMS207,1990,2,3.84,3.84,3.84
GMS207,1990,3,3.53,3.53,3.53
GMS207,1990,4,3.66,3.66,3.66
GMS207,1990,5,3.6,3.6,3.6
GMS207,1990,6,3.58,3.58,3.58
GMS207,1990,7,3.55,3.55,3.55
GMS207,1990,8,3.46,3.46,3.46
GMS207,1990,9,3.45,3.45,3.45
GMS207,1990,10,3.4,3.4,3.4
GMS207,1990,11,3.72,3.72,3.72
GMS207,1990,12,3.76,3.76,3.76
GMS207,1991,1,3.85,3.85,3.85
GMS207,1991,2,3.85,3.85,3.85
GMS207,1991,3,3.69,3.69,3.69
GMS207,1991,4,3.57,3.57,3.57
GMS207,1991,5,3.44,3.44,3.44
GMS207,1991,6,3.41,3.41,3.41
GMS207,1991,7,3.45,3.45,3.45
GMS207,1991,8,3.44,3.44,3.44
GMS207,1991,9,3.34,3.34,3.34
GMS207,1991,10,3.33,3.33,3.33
GMS207,1991,11,3.45,3.45,3.45
GMS207,1991,12,3.61,3.61,3.61
GMS207,1992,1,3.44,3.44,3.44
GMS207,1992,2,3.45,3.45,3.45
GMS207,1992,3,3.72,3.72,3.72
GMS207,1992,4,3.91,3.91,3.91
GMS207,1992,5,3.84,3.84,3.84
GMS207,1992,6,3.64,3.64,3.64
GMS207,1992,7,3.46,3.46,3.46
GMS207,1992,8,3.41,3.41,3.41
GMS207,1992,9,3.34,3.34,3.34
GMS207,1992,10,3.22,3.22,3.22
GMS207,1992,11,3.37,3.37,3.37
GMS207,1992,12,3.52,3.52,3.52
GMS207,1993,1,3.65,3.65,3.65
GMS207,1993,2,3.85,3.85,3.85
GMS207,1993,3,3.74,3.74,3.74
GMS207,1993,4,3.62,3.62,3.62
GMS207,1993,5,3.54,3.54,3.54
GMS207,1993,6,3.45,3.45,3.45
GMS207,1993,7,3.56,3.56,3.56
GMS207,1993,8,3.88,3.88,3.88
GMS207,1993,9,3.79,3.79,3.79
GMS207,1993,10,4.12,4.12,4.12
GMS207,1993,11,4.04,4.04,4.04
GMS207,1993,12,4.1,4.1,4.1
GMS207,1994,1,4.37,4.37,4.37
GMS207,1994,2,4.31,4.31,4.31
GMS207,1994,3,4.21,4.21,4.21
GMS207,1994,4,4.41,4.41,4.41
GMS207,1994,5,4.13,4.13,4.13
GMS207,1994,6,,,
GMS207,1994,7,,,
GMS207,1994,8,,,
GMS207,1994,9,3.43,3.43,3.43
GMS207,1994,10,3.37,3.37,3.37
GMS207,1994,11,3.38,3.38,3.38
GMS207,1994,12,3.45,3.45,3.45
GMS207,1995,1,3.43,3.43,3.43
GMS207,1995,2,3.6,3.6,3.6
GMS207,1995,3,3.73,3.73,3.73
GMS207,1995,4,3.8,3.8,3.8
GMS207,1995,5,3.79,3.79,3.79
GMS207,1995,6,,,
GMS207,1995,7,,,
GMS207,1995,8,,,
GMS207,1995,9,3.68,3.68,3.68
GMS207,1995,10,3.64,3.64,3.64
